x,u_ex,u_im,u_exact
0,0,0,0
0.1,5,0.82917,0.989867
0.2,-15.025,0.954917,0.983601
0.3,65.0002,0.955267,0.960862
0.4,-255.224,0.926762,0.928478
0.5,1025.5,0.885779,0.886816
0.6,-4097.62,0.83541,0.836294
0.7,16394.6,0.776603,0.777416
0.8,-65574.6,0.710023,0.71077
0.9,262302,0.636345,0.637022
1,-1.04921e+06,0.556309,0.556909
1.1,4.19682e+06,0.470715,0.471232
1.2,-1.67873e+07,0.380417,0.380846
1.3,6.71492e+07,0.286319,0.286655
1.4,-2.68597e+08,0.189359,0.1896
1.5,1.07439e+09,0.0905075,0.0906508
1.6,-4.29755e+09,-0.00924835,-0.00920437
1.7,1.71902e+10,-0.108912,-0.108968
1.8,-6.87607e+10,-0.207487,-0.207642
1.9,2.75043e+11,-0.303989,-0.304242
2,-1.10017e+12,-0.397454,-0.397802
